Label (Grouping),Alabama!!Total!!Estimate,Alaska!!Total!!Estimate,Arizona!!Total!!Estimate,Arkansas!!Total!!Estimate,California!!Total!!Estimate,Colorado!!Total!!Estimate,Connecticut!!Total!!Estimate,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida!!Total!!Estimate,Georgia!!Total!!Estimate,Hawaii!!Total!!Estimate,Idaho!!Total!!Estimate,Illinois!!Total!!Estimate,Indiana!!Total!!Estimate,Iowa!!Total!!Estimate,Kansas!!Total!!Estimate,Kentucky!!Total!!Estimate,Louisiana!!Total!!Estimate,Maine!!Total!!Estimate,Maryland!!Total!!Estimate,Massachusetts!!Total!!Estimate,Michigan!!Total!!Estimate,Minnesota!!Total!!Estimate,Mississippi!!Total!!Estimate,Missouri!!Total!!Estimate,Montana!!Total!!Estimate,Nebraska!!Total!!Estimate,Nevada!!Total!!Estimate,New Hampshire!!Total!!Estimate,New Jersey!!Total!!Estimate,New Mexico!!Total!!Estimate,New York!!Total!!Estimate,North Carolina!!Total!!Estimate,North Dakota!!Total!!Estimate,Ohio!!Total!!Estimate,Oklahoma!!Total!!Estimate,Oregon!!Total!!Estimate,Pennsylvania!!Total!!Estimate,Rhode Island!!Total!!Estimate,South Carolina!!Total!!Estimate,South Dakota!!Total!!Estimate,Tennessee!!Total!!Estimate,Texas!!Total!!Estimate,Utah!!Total!!Estimate,Vermont!!Total!!Estimate,Virginia!!Total!!Estimate,Washington!!Total!!Estimate,West Virginia!!Total!!Estimate,Wisconsin!!Total!!Estimate,Wyoming!!Total!!Estimate,Puerto Rico!!Total!!Estimate
    SELECTED AGE CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        5 to 14 years,"636,270","104,578","922,554","400,761","5,006,360","710,538","409,485","118,318","69,568","2,437,603","1,442,187","175,532","272,027","1,591,197","897,279","417,782","402,077","577,211","616,282","142,330","772,182","767,241","1,217,645","747,798","394,165","787,542","137,581","275,282","399,373","146,299","1,144,562","272,562","2,299,966","1,307,487","103,671","1,474,334","549,324","495,279","1,519,324","117,285","638,199","125,372","870,528","4,262,333","542,138","68,134","1,073,239","959,965","207,984","728,228","77,344","326,639"
        15 to 17 years,"193,581","28,625","289,475","123,108","1,553,184","223,572","140,177","37,160","15,352","758,266","453,968","47,449","84,908","505,429","280,089","131,945","122,562","178,966","183,803","46,311","237,265","248,524","388,313","230,449","124,438","242,049","41,175","82,324","121,169","47,735","360,114","84,144","710,902","409,458","27,768","460,141","167,009","153,057","476,825","38,269","202,004","37,170","269,829","1,302,587","169,038","21,473","327,587","283,293","64,624","231,113","23,952","115,308"
        Under 18 years,"1,119,942","179,401","1,614,284","703,793","8,769,779","1,241,947","727,239","208,517","125,729","4,287,823","2,522,124","304,201","469,986","2,800,177","1,585,398","736,984","702,206","1,015,455","1,082,043","249,675","1,360,097","1,361,940","2,151,937","1,308,981","691,885","1,383,537","234,847","482,202","697,619","256,254","2,020,876","471,808","4,103,566","2,299,746","182,589","2,603,410","957,938","858,666","2,674,227","208,321","1,115,996","220,621","1,537,615","7,456,547","945,457","116,767","1,881,818","1,675,782","361,392","1,274,605","131,529","545,788"
        18 to 24 years,"468,727","67,493","681,735","284,335","3,558,188","525,940","343,982","83,763","65,547","1,731,183","1,043,171","115,665","173,371","1,140,595","660,956","318,834","290,243","416,072","424,818","107,494","531,772","688,028","926,979","499,667","289,913","558,016","102,666","188,954","253,546","124,420","771,827","193,520","1,745,253","1,005,784","85,620","1,058,634","388,812","356,854","1,127,884","113,825","476,311","84,378","623,070","2,846,706","381,791","66,098","817,784","661,761","156,128","544,964","51,926","316,387"
        15 to 44 years,"1,933,531","311,414","2,887,170","1,176,203","16,353,927","2,501,102","1,386,148","371,575","337,677","7,956,852","4,410,353","551,774","758,153","5,035,892","2,695,502","1,250,552","1,168,321","1,751,417","1,841,239","486,920","2,414,853","2,815,701","3,844,220","2,243,330","1,154,330","2,397,007","424,196","782,383","1,260,297","516,935","3,540,765","831,100","7,806,967","4,142,843","324,288","4,519,494","1,613,507","1,700,428","4,913,258","436,547","1,990,518","344,236","2,733,682","12,531,956","1,503,769","242,311","3,480,588","3,210,589","645,220","2,261,879","226,511","1,234,506"
        16 years and over,"4,046,627","571,832","5,852,913","2,405,035","31,507,237","4,720,626","2,971,314","819,868","553,437","18,010,659","8,575,918","1,166,220","1,484,932","10,203,044","5,401,077","2,543,525","2,315,379","3,612,858","3,663,069","1,155,699","4,964,751","5,790,261","8,156,411","4,554,126","2,340,485","4,949,628","895,986","1,534,896","2,526,328","1,164,253","7,489,289","1,700,082","16,210,453","8,524,268","610,714","9,480,334","3,140,799","3,487,919","10,602,171","913,136","4,207,365","699,893","5,616,708","22,934,023","2,507,029","542,827","6,980,718","6,250,868","1,465,755","4,773,326","461,622","2,794,959"
        18 years and over,"3,919,935","553,272","5,662,032","2,322,098","30,468,057","4,570,122","2,878,358","794,867","544,321","17,493,305","8,277,442","1,137,352","1,430,937","9,871,292","5,220,587","2,456,095","2,232,376","3,493,939","3,542,004","1,122,572","4,805,032","5,622,783","7,898,874","4,398,409","2,258,080","4,784,650","869,424","1,481,490","2,446,372","1,132,738","7,246,254","1,644,069","15,732,347","8,251,416","592,359","9,176,607","3,028,701","3,387,489","10,289,829","887,289","4,074,709","674,755","5,437,603","22,071,394","2,392,518","528,803","6,760,456","6,062,910","1,421,567","4,621,303","447,274","2,717,796"
        21 years and over,"3,699,142","521,655","5,372,612","2,194,015","28,918,596","4,346,563","2,721,498","754,148","515,012","16,753,101","7,812,956","1,091,307","1,354,704","9,374,318","4,933,998","2,309,493","2,104,009","3,307,289","3,354,571","1,073,239","4,579,503","5,308,211","7,491,294","4,179,313","2,126,566","4,536,481","827,777","1,401,882","2,339,377","1,075,694","6,920,044","1,558,126","14,973,928","7,802,457","555,602","8,700,622","2,854,120","3,233,564","9,775,539","832,043","3,852,732","637,381","5,158,274","20,833,448","2,234,764","497,878","6,397,867","5,786,705","1,352,112","4,382,920","425,155","2,574,430"
        60 years and over,"1,228,023","145,052","1,790,681","716,478","8,291,725","1,242,795","912,123","277,771","119,192","6,108,802","2,242,853","375,260","431,646","2,934,561","1,563,482","787,235","683,898","1,070,678","1,069,128","408,084","1,425,510","1,696,117","2,546,979","1,347,910","694,672","1,519,050","297,251","446,574","715,951","380,143","2,196,554","535,356","4,843,429","2,488,787","172,851","2,926,164","899,074","1,065,643","3,404,080","283,192","1,326,598","219,928","1,657,943","5,520,448","544,368","183,157","1,968,697","1,741,368","498,865","1,474,362","145,408","962,268"
        62 years and over,"1,090,086","124,583","1,609,301","639,556","7,330,977","1,097,994","804,856","247,308","103,636","5,483,858","1,963,519","337,598","384,096","2,587,525","1,373,071","694,821","605,126","948,336","943,867","360,627","1,251,529","1,497,194","2,254,958","1,192,419","618,320","1,340,642","265,002","395,341","638,661","334,390","1,941,256","477,434","4,277,704","2,203,558","152,120","2,602,834","795,558","953,489","3,028,002","246,437","1,185,610","191,481","1,470,825","4,842,500","480,934","163,429","1,735,471","1,543,873","449,103","1,300,106","128,172","865,784"
        65 years and over,"885,809","98,410","1,333,985","525,153","5,964,526","880,167","649,172","201,551","85,615","4,598,996","1,585,687","282,567","314,010","2,103,309","1,115,579","567,581","489,676","768,416","766,330","297,101","1,003,383","1,216,447","1,823,284","959,272","496,945","1,084,768","217,298","322,833","519,568","267,741","1,563,621","391,797","3,477,337","1,796,369","123,840","2,102,569","645,174","789,896","2,464,903","200,201","967,223","157,883","1,187,354","3,892,411","388,120","133,173","1,406,480","1,251,640","368,775","1,054,247","103,822","740,486"
        75 years and over,"345,586","31,119","549,618","210,523","2,395,322","321,025","269,733","76,144","35,084","2,005,736","588,746","120,011","119,465","840,266","430,793","228,856","195,127","292,656","289,582","113,130","396,394","485,662","705,026","378,279","188,392","431,899","80,896","126,848","195,845","100,888","640,433","151,759","1,434,561","689,397","50,458","819,416","253,732","298,747","997,115","81,185","360,671","60,048","455,253","1,467,380","146,281","50,812","550,577","470,610","142,189","407,131","37,404","356,323"
    SUMMARY INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Median age (years),39.8,35.6,38.6,38.5,37.6,37.6,41.1,41.6,34.8,42.8,37.5,40.2,37.3,39.0,38.2,38.5,37.3,39.1,38.0,44.7,39.3,39.9,40.2,38.8,38.6,39.2,40.1,37.2,38.7,43.1,40.3,39.1,39.8,39.4,35.8,39.6,37.2,40.1,40.9,40.6,40.2,37.6,39.2,35.5,31.8,42.9,38.8,38.2,42.8,40.1,39.0,44.1
        Sex ratio (males per 100 females),94.3,109.6,99.5,97.5,100.0,102.6,96.2,93.9,90.9,96.8,95.3,101.3,100.8,97.8,98.4,100.8,101.0,97.8,95.7,96.4,95.0,95.3,98.1,100.5,94.8,97.5,103.2,100.9,101.7,99.6,97.0,98.9,95.6,95.3,106.4,97.3,99.1,99.9,97.5,96.0,94.5,101.9,95.8,99.7,103.1,98.5,97.8,101.5,99.1,100.5,104.7,89.8
        Age dependency ratio,66.1,61.1,68.1,68.4,60.1,57.5,61.7,69.1,46.1,68.9,61.4,68.6,70.2,63.1,65.8,69.1,68.4,65.5,66.6,66.2,62.2,58.5,65.4,66.0,67.5,66.7,69.3,69.5,63.2,60.6,63.1,69.0,61.9,63.5,65.4,66.5,67.3,63.5,65.7,59.5,67.0,73.2,64.1,62.4,66.5,63.2,61.4,60.8,69.4,65.3,68.5,65.1
        Old-age dependency ratio,29.2,21.6,30.8,29.2,24.3,23.9,29.1,34.0,18.7,35.7,23.7,33.1,28.1,27.1,27.2,30.1,28.1,28.2,27.6,36.0,26.4,27.6,30.0,27.9,28.2,29.3,33.3,27.9,27.0,31.0,27.5,31.3,28.4,27.8,26.4,29.7,27.1,30.4,31.5,29.1,31.1,30.5,27.9,21.4,19.4,33.7,26.3,26.0,35.0,29.6,30.2,37.4
        Child dependency ratio,36.9,39.4,37.3,39.2,35.8,33.7,32.6,35.1,27.4,33.3,37.7,35.6,42.1,36.0,38.6,39.0,40.3,37.3,39.0,30.2,35.8,30.9,35.4,38.1,39.3,37.4,36.0,41.6,36.2,29.6,35.6,37.7,33.5,35.6,39.0,36.8,40.2,33.1,34.2,30.3,35.9,42.7,36.2,41.0,47.2,29.5,35.1,34.8,34.3,35.7,38.3,27.6
    PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Sex,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
